Competitor Tech ID,Competitor / Brand,Product / Platform,Product Area,User Function,Technology / Architecture,How It Works,Differentiating Capability,Limitation / Remaining Gap,Maturity,Related Market Signal IDs,Source ID
CT-032,TOTO,CALMING SHAWL,Shower,Giữ cơ thể được phủ bởi nước ấm nhưng tránh làm ướt không cần thiết vùng mặt/tóc,"Các đầu phun sen trên cao bố trí theo cung, kết hợp với các dòng tia xoắn chuyên dụng.",Các lỗ phun được bố trí theo cung để nước bao quanh cổ/vai và chảy xuống cơ thể mà không phun trực tiếp vào mặt/tóc.,Thay đổi phân bố không gian của nước quanh cơ thể thay vì chỉ tăng diện tích phun; tạo trải nghiệm bao phủ cơ thể ở mức <9 L/min trên sản phẩm G Selection hiện tại.,Cần hình học sen trên cao và tư thế người dùng phù hợp; lợi ích phụ thuộc nhiều vào chiều cao lắp đặt và hình dạng cơ thể.,Commercial / Emerging,MS-007;MS-013;MS-017,SRC-361
CT-033,TOTO,MIST SPA,Shower,Tạo cảm giác làm sạch nhẹ nhàng và sảng khoái bằng sương nước rất mịn,Cơ chế tạo tia ultrafine-bubble / microbubble.,Nước được phun ra dưới dạng sương chứa các bọt khí siêu nhỏ có kích thước dưới 1 µm.,Tạo cảm giác trên da và trải nghiệm làm sạch khác rõ so với giọt nước thông thường; kết nối tia nước với định vị chăm sóc cá nhân.,Sương mịn có thể tạo lực tác động/vùng phủ thấp hơn tia thông thường; hiệu năng UFB và lợi ích đối với người dùng phụ thuộc vào điều kiện tạo bọt.,Commercial / Emerging,MS-007;MS-016;MS-017,SRC-361
CT-034,TOTO,WARM SPA,Shower,Làm ấm và thư giãn cơ thể bằng trải nghiệm tắm gần với ngâm bồn,Cột nước ấm đơn được thiết kế để bao phủ cơ thể và hạn chế bắn nước.,"Một cột nước tương đối liên tục, được kiểm soát, bao quanh cơ thể và duy trì cảm giác ấm cân bằng.",Tập trung vào sự thoải mái nhiệt trên toàn cơ thể thay vì chỉ cảm giác tia nước; TOTO báo cáo hiệu ứng làm ấm cơ thể tiến gần trải nghiệm ngâm bồn.,"Cần đủ công suất nước nóng và hình học tia phun phù hợp; hiệu ứng nhiệt thay đổi theo môi trường, thời gian và người dùng.",Commercial / Mature,MS-007;MS-003,SRC-361
CT-035,TOTO,COMFORT WAVE,Shower,Duy trì cảm giác tia đầy và thoải mái trong khi sử dụng ít nước hơn,Tia giọt lớn với quỹ đạo phun/hình học đường nước được kiểm soát.,"Kiến trúc tia phun tạo các giọt tương đối lớn và phân bố nước dày, đồng thời giới hạn lưu lượng.",Sử dụng kích thước giọt và phân bố không gian để tạo cảm giác tia đầy thay vì chỉ tăng lưu lượng.,Vẫn phụ thuộc vào áp lực đầu vào và hình học đầu phun; cảm giác thoải mái thực tế thay đổi theo người dùng.,Mature,MS-001;MS-007;MS-017,SRC-361
CT-036,TOTO,ACTIVE WAVE,Shower,Tạo cảm giác tắm mạnh và kích thích hơn trong khi vẫn kiểm soát lượng nước,Kiến trúc đầu phun đặc biệt tạo dòng dao động và giọt nước lớn hơn.,"Đầu phun chuyên dụng tạo các dòng nước dao động/swinging với giọt lớn hơn, làm tăng cảm nhận tác động lên cơ thể.",Tạo cảm giác mạnh hơn nhờ động lực học của tia và kích thước giọt thay vì chỉ tăng lưu lượng.,"Không làm tăng áp lực cấp nước; cảm giác mạnh phụ thuộc vào áp lực, hình học đầu phun và sở thích người dùng.",Mature,MS-001;MS-007;MS-017,SRC-361
CT-037,TOTO,GYROSTREAM,Shower,"Tạo cảm giác massage trên vùng rộng, có mục tiêu",Kiến trúc dòng nước dạng xung/xoáy.,Dòng nước dạng xung được định hình để tác động lên vùng lưng và eo rộng hơn với kích thích mạnh hơn.,Kết hợp massage có mục tiêu với tác động của dòng nước trên vùng rộng; cơ chế khác với tia áp lực cao cố định đơn thuần.,Cần hình học đầu ra chuyên dụng và áp lực đủ lớn; chủ yếu phục vụ trải nghiệm/cảm giác ở phân khúc cao cấp.,Commercial / Emerging,MS-007;MS-013,SRC-361
CT-038,TOTO,INTENSE WAVE / INTENSE WAVE+,Shower,Tạo kích thích mạnh hơn cho trải nghiệm tắm phục hồi hoặc massage,Kiểu tia phun dạng sóng/dao động mạnh.,Nước được phun theo dạng sóng thay đổi động để tạo kích thích mạnh hơn.,Mở rộng danh mục cơ chế tia phun của TOTO từ các chế độ thiên về thư giãn sang các chế độ kích thích mạnh.,Chủ yếu tạo trải nghiệm; không giải quyết các vấn đề cơ bản về áp lực thấp hoặc vùng phủ.,Commercial / Emerging,MS-007,SRC-361
CT-039,TOTO,SAFETY THERMO,Shower / Thermostat,Duy trì nhiệt độ nước ổn định khi điều kiện cấp nước thay đổi,"Cartridge thermostatic đáp ứng nhanh, sử dụng cuộn Shape Memory Alloy (SMA).",Cuộn SMA phản ứng nhanh với thay đổi nhiệt độ và điều chỉnh cơ cấu trộn nước nóng/lạnh.,TOTO sử dụng SMA để phản ứng nhanh với dao động nhiệt độ do thay đổi nhiệt độ và áp lực cấp nước.,Làm tăng độ phức tạp và chi phí vật liệu/cơ khí; vẫn cần hệ thống được lắp đặt đúng và điều kiện nước phù hợp.,Mature,MS-004;MS-012,SRC-362
CT-040,TOTO,HEAT PROTECT,Shower / Faucet,Ngăn bỏng khi người dùng chạm vào thiết bị nóng,Kiến trúc cách nhiệt bằng lớp nước lạnh bao quanh đường nước nóng.,"Nước lạnh chảy xung quanh đường nước nóng, tạo lớp cách nhiệt giữa nước nóng và bề mặt bên ngoài mà người dùng chạm vào.","Xử lý riêng nguy cơ bỏng do tiếp xúc, bên cạnh chức năng điều chỉnh nhiệt độ nước chống bỏng.",Không điều chỉnh nhiệt độ nước đầu ra; hiệu quả phụ thuộc vào lưu lượng và điều kiện nhiệt.,Mature,MS-004,SRC-362
CT-041,TOTO,MINI UNIT,Shower / Concealed Mixer,Cho phép lựa chọn thiết bị linh hoạt và dễ thay thế sau này mà không phải mở tường,"Module âm tường dùng chung, nhỏ gọn, tách khỏi phần trim/chức năng nhìn thấy.",Một cụm âm tường dùng chung có thể lắp với nhiều cấu hình vòi sen/trim của TOTO; module nhỏ gọn và có khả năng bù sai số lắp đặt.,"Tách hạ tầng âm tường khỏi lựa chọn thiết bị cuối cùng, giảm hạn chế khi cải tạo/thay thế.",Chủ yếu tạo giá trị về lắp đặt/nền tảng thay vì cải thiện trực tiếp hiệu năng tắm; phụ thuộc vào hệ sinh thái TOTO.,Mature,MS-018;MS-022,SRC-362
CT-042,TOTO,SELFPOWER,Bathroom Faucet,Cho phép vòi chậu không chạm mà không cần dây điện riêng hoặc thay pin,Máy phát thủy điện siêu nhỏ chạy bằng dòng nước + microsensor.,Dòng nước làm quay máy phát tích hợp để cấp điện cho cảm biến/mạch điều khiển; cảm biến phát hiện tay và điều khiển dòng nước.,"Kết hợp vận hành không chạm với nguồn điện tự tạo, giảm phụ thuộc vào nguồn điện bên ngoài.",Cần có dòng nước để tạo năng lượng; làm tăng số chi tiết cảm biến/máy phát và độ phức tạp hệ thống.,Mature,MS-009;MS-014;MS-020,SRC-362
CT-043,TOTO,SOFT FLOW,Bathroom Faucet,Cấp nước nhẹ cho tay với ít bắn nước,Đầu ra điều hòa dòng bằng lưới mịn.,"Lưới mịn làm giảm nhiễu loạn và chia dòng thành các dòng nước riêng, ổn định.",Tạo trải nghiệm rửa tay ít bắn nước mà không cần điều khiển điện tử.,Chủ yếu tối ưu cho rửa tay tại chậu; không phù hợp với yêu cầu lưu lượng/xả mạnh.,Mature,MS-009;MS-015,SRC-362
CT-044,TOTO,COMFORT GLIDE,Bathroom Faucet,"Duy trì thao tác vòi trơn, nhẹ trong suốt vòng đời sản phẩm",Đĩa van ceramic phủ DLC.,Lớp phủ diamond-like carbon giảm ma sát và duy trì chuyển động trơn của đĩa ceramic thay vì chỉ dựa vào chất bôi trơn.,Cải thiện cảm giác thao tác và độ bền lâu dài tại giao diện van.,"Chủ yếu là cải thiện chất lượng/tuổi thọ, chưa phải một đổi mới mạnh nếu xét riêng lẻ.",Mature,MS-009;MS-015,SRC-362
CT-045,TOTO,ECO CAP / Water-Saving Faucet Architecture,Bathroom Faucet,Giảm lượng nước nhưng vẫn duy trì lưu lượng hữu ích khi rửa tay,Dòng nước hỗ trợ bằng không khí / tối ưu hóa thể tích lưu lượng.,Không khí được đưa vào dòng nước để tăng cảm nhận về thể tích trong khi giảm lượng nước thực tế.,Duy trì cảm giác dòng nước đầy hơn trong khi giảm lưu lượng; TOTO báo cáo vòi tự động có thể sử dụng khoảng 2 L/min với giải pháp tiết kiệm nước này.,Lưu lượng thấp vẫn có thể ảnh hưởng đến tốc độ xả và cảm nhận của người dùng; lợi ích phụ thuộc vào chậu và tình huống sử dụng.,Mature,MS-009;MS-017,SRC-362
CT-046,TOTO,Temporary Water Shut-off + 4-mode Multifunction Hand Shower,Shower,Tạm dừng nước khi gội đầu/xoa xà phòng mà không thay đổi chế độ sen đã chọn,Cơ cấu tạm dừng cơ khí nhỏ gọn tích hợp cạnh bộ chọn chế độ.,Người dùng nhấn nút gần tay để tạm dừng nước; chọn chế độ và tắt/mở tạm thời được tích hợp trong một giao diện nhỏ gọn.,Thao tác bằng một ngón tay kết hợp chọn chế độ và tạm dừng nước; TOTO báo cáo tiết kiệm khoảng 48% nước so với cấu hình đối chứng.,Cần người dùng thao tác; chức năng tạm dừng không tự giải quyết việc điều chỉnh lưu lượng hoặc khôi phục nhiệt độ.,Commercial / Emerging,MS-005;MS-017;MS-019,SRC-363
