Supplier Tech ID,Supplier / Company,Technology / Component,Capability / Principle,Current Application,Maturity,Fitting Applicability,Source ID,,
ST-034,Solex,Flexible Spray Low-pressure Head,"Đường kính đầu ra thay đổi theo áp suất; lỗ nhỏ hơn ở áp suất thấp giúp tăng lực tia, lỗ lớn hơn ở áp suất cao giúp cân bằng lưu lượng",Shower,Development,Tia phun ổn định hơn trong dải áp suất,"SRC-357, SRC-348",,Tia phun ổn định hơn trong dải áp suất
ST-035,Solex,T-arget Massage Spray,Tia phun tập trung dạng chữ T hướng vào vùng vai/cột sống; vùng phủ công bố >200 mm,Shower,New concept,Massage có mục tiêu thay vì massage chung,"SRC-357, SRC-348",,Massage có mục tiêu thay vì massage chung
ST-036,Solex,Height-adjustable Low-wobble Head Shower,Điều chỉnh trượt khoảng ~300 mm với cơ cấu cân bằng lực để giảm rung lắc,Shower,New concept,Điều chỉnh theo chiều cao người dùng kết hợp độ ổn định,"SRC-357, SRC-348",,Điều chỉnh theo chiều cao người dùng kết hợp độ ổn định
ST-037,Jandao / Waternym,Anti-clogging Reverse-flush Spray Panel,Tấm đầu ra có thể đảo chiều để xả tạp chất từ mặt sau và có thể tháo ra để vệ sinh,Shower / faucet,Existing technology,Dễ bảo trì bề mặt đầu phun,"SRC-359, SRC-350",,Dễ bảo trì bề mặt đầu phun
ST-038,Jandao / Waternym,Multi-pressure Spray Panel Platform,"Các tấm đầu ra có thể thay thế, được tối ưu cho áp suất thấp / trung bình / cao",Shower,Existing technology,Thích ứng với áp suất theo từng khu vực,"SRC-359, SRC-350",,Thích ứng với áp suất theo từng khu vực
ST-039,Jandao / Waternym,Private-care + Granular Massage Spray,Các nhóm đầu ra riêng biệt cung cấp tia mềm/dày cho chăm sóc cá nhân và tia massage dạng hạt/tia áp lực,Shower,Existing technology,Kết hợp chăm sóc cá nhân và massage,"SRC-359, SRC-350",,Kết hợp chăm sóc cá nhân và massage
ST-040,Seagull,Ozone Water Generation / Dispensing,Tạo nước ozone tại điểm sử dụng với kích hoạt không chạm,Faucet / treatment,New concept,Bổ sung chức năng xử lý nước tại đầu ra,"SRC-358, SRC-349",,Bổ sung chức năng xử lý nước tại đầu ra
ST-041,Seagull,Light-Flow Sync Interface,Cường độ LED thay đổi theo mức lưu lượng được chọn,Faucet / shower,New concept,Phản hồi trực quan khi tương tác,"SRC-358, SRC-349",,Phản hồi trực quan khi tương tác
ST-042,Seagull,Volume-quantified Auto Shut-off,Theo dõi thể tích nước điện tử và tự động dừng dòng nước khi đạt lượng cài đặt trước,Faucet,New concept,Định lượng nước và ngăn tràn có kiểm soát,"SRC-358, SRC-349",,Định lượng nước và ngăn tràn có kiểm soát
ST-043,Seagull,Smart Shower Touch + Display Control,"Điều khiển bằng nút chạm/màn hình cho nhiệt độ, lưu lượng, chức năng và cài đặt người dùng; bao gồm hẹn giờ và xả nước trước",Shower,New concept,Điều khiển kỹ thuật số theo nhu cầu cá nhân,"SRC-358, SRC-349",,Điều khiển kỹ thuật số theo nhu cầu cá nhân
ST-044,Yizhan,Push-button Diverter Cartridge,Nút nhấn thay đổi đầu ra sen; các phiên bản kết hợp bộ chuyển hướng + điều chỉnh lưu lượng,Shower,Existing product,Điều khiển đa chức năng nhỏ gọn,"SRC-360, SRC-351",,Điều khiển đa chức năng nhỏ gọn
ST-045,Yizhan,Hot-Cold Push-button Cartridge,Giao diện nút nhấn kết hợp với điều chỉnh nhiệt độ nóng/lạnh,Shower,Existing product,Điều khiển nhiệt độ nhỏ gọn,"SRC-360, SRC-351",,Điều khiển nhiệt độ nhỏ gọn
ST-046,Yizhan,Cold-start Cartridge,Cần gạt khởi động từ vị trí nước lạnh; muốn dùng nước nóng phải chủ động di chuyển cần gạt,Basin,Existing product,Tiết kiệm năng lượng thụ động,"SRC-360, SRC-351",,Tiết kiệm năng lượng thụ động
ST-047,Yizhan,Two-phase Flow Regulator / Hot-limit Cartridge,Điều khiển hai cấp cho lưu lượng/nước nóng; có các phiên bản 35/40 mm có và không có bộ phân phối,Faucet / shower,Existing product,Lưu lượng mặc định thấp + lưu lượng cao hơn có kiểm soát / giới hạn nước nóng,"SRC-360, SRC-351",,Lưu lượng mặc định thấp + lưu lượng cao hơn có kiểm soát / giới hạn nước nóng
ST-048,Yizhan,Cool-touch Cartridge / Faucet Architecture,Tách nhiệt giúp giảm truyền nhiệt tới các bề mặt bên ngoài mà người dùng chạm vào,Shower,Existing technology,An toàn nhiệt tại các bề mặt tiếp xúc,"SRC-360, SRC-351",,An toàn nhiệt tại các bề mặt tiếp xúc
ST-049,Runner,Microbubble Spray,Chế độ phun microbubble sử dụng cấu trúc đầu ra microbubble chuyên dụng,Kitchen / basin,Concept,Giải pháp thay thế cho chế độ sục khí/tia phun thông thường,SRC-350,,Giải pháp thay thế cho chế độ sục khí/tia phun thông thường
ST-050,Runner,Height-adjustable Spout,Có thể điều chỉnh chiều cao vòi/đầu ra trong khoảng xấp xỉ 0–80 mm,Basin faucet,Concept,Giảm nhu cầu cúi người và hỗ trợ nhiều thao tác sử dụng,SRC-350,,Giảm nhu cầu cúi người và hỗ trợ nhiều thao tác sử dụng
ST-051,Lota,Quick Connection Shower Head,Adapter push-connect cho phép lắp/tháo nhanh đầu sen để vệ sinh,Shower,New concept,Đơn giản hóa bảo trì và lắp đặt,SRC-354,,Đơn giản hóa bảo trì và lắp đặt
ST-052,Lota,Anti-Dripping Rain Shower Head,Cấu trúc chuyên dụng giúp giảm lượng nước còn nhỏ giọt sau khi tắt,Shower,New concept,Giải quyết vấn đề nước nhỏ giọt sau khi sử dụng,SRC-354,,Giải quyết vấn đề nước nhỏ giọt sau khi sử dụng
ST-053,Lota,One-button Sprayhead Control + Auto Reset,Một nút nhấn chuyển đổi tia phun và tự động trở về chế độ mặc định,Kitchen / shower,New concept,Tương tác đơn giản bằng một tay,SRC-354,,Tương tác đơn giản bằng một tay
ST-054,Solex,iDrain / Cold-water Drainage,Chế độ xả chuyên dụng loại bỏ nước lạnh ban đầu; tự động chuyển sang tạm dừng khi đạt nhiệt độ mục tiêu,Concealed shower,Concept,Giảm thời gian chờ nước nóng và lượng nước bị lãng phí,SRC-356,,Giảm thời gian chờ nước nóng và lượng nước bị lãng phí
ST-055,Solex,Universal Level for Concealed Installation,Thước thủy tích hợp cho phép điều chỉnh hướng lắp đặt trước khi hoàn thiện,Concealed shower,Supplier platform,Giảm sai số căn chỉnh khi lắp đặt,SRC-356,,Giảm sai số căn chỉnh khi lắp đặt
ST-056,Solex,Line Simplicity Modular Concealed Box,Hộp chính + các hộp chức năng mở rộng tạo thành nền tảng sen tắm âm tường dạng module,Concealed shower,Supplier platform,Cho phép mở rộng chức năng và dùng chung một nền tảng,SRC-356,,Cho phép mở rộng chức năng và dùng chung một nền tảng
ST-057,Yizhan,PPA Shelf Waterway Platform,Đường nước bằng nhựa PPA kết hợp với vỏ kẽm/thép không gỉ; nhà cung cấp công bố đường nước có khả năng chống bỏng và không chứa chì,Faucet / shower,Supplier platform,Kiến trúc đường nước phi kim loại,SRC-360,,Kiến trúc đường nước phi kim loại
ST-058,Yizhan,High-performance / Cold-start Cartridge Family,"Dòng cartridge NF077 CH3 kết hợp các đặc tính khởi động bằng nước lạnh, tiết kiệm năng lượng và độ bền",Faucet,Existing product,Nền tảng cartridge tiết kiệm năng lượng thụ động,SRC-360,,Nền tảng cartridge tiết kiệm năng lượng thụ động
