Tech ID,Technology,Source Industry,Maturity,Claw Role,Discovery Class,Nguyên lý / Cơ chế,Ứng dụng / Giá trị tiềm năng,Supplier Tech IDs,Competitor Tech IDs,Market Signal IDs,Source IDs
TR-031,Thermal-Retention Shower Spray Geometry,Shower / Spray Atomization / Heat Transfer,Established Physics / Application Engineering,ACTIVE ENABLER,ACTIVE ENABLER,"Kích thước giọt, độ liền mạch của tia, vận tốc, quãng đường bay và điều kiện không khí quyết định mức thất thoát nhiệt của tia trước khi chạm người.","Đây là kiến thức nền để đồng thời tối ưu cảm giác tia và nhiệt độ thực tới cơ thể. Không phải một chế độ sản phẩm độc lập, mà là nguyên lý hỗ trợ thiết kế tia phun.",,CT-001;CT-009,MS-001;MS-007,SRC-154;SRC-155
TR-032,Water–Air–Soap Foam Generation,Bathroom / Personal Care / Assisted Bathing,Commercial Mature,BASELINE,BASELINE,Dung dịch làm sạch được trộn với nước và không khí để tạo bọt ấm; hệ điều khiển định lượng bọt rồi chuyển lại về nước xả thông thường.,Đây là giải pháp nền cho chăm sóc/chăm sóc thư giãn bằng bọt. Chỉ tái tạo chức năng tạo bọt không còn là khoảng trống công nghệ.,,,,SRC-156;SRC-157;SRC-158;SRC-159;SRC-160;SRC-161;SRC-162;SRC-283;SRC-284
TR-033,Pressure-Responsive Variable-Aperture Shower Nozzles,Shower / Elastomeric Fluid Control,Commercial Mature / Patent Crowded,BASELINE,BASELINE,Lỗ phun hoặc phần tử elastomer tự thay đổi tiết diện hiệu dụng hay sức cản thủy lực theo áp suất/lưu lượng.,FlexPower và bằng sáng chế/giải pháp trước đó cho thấy nguyên lý này đã là giải pháp nền trong shower. Không dùng riêng lỗ phun biến tiết diện làm điểm mới công nghệ.,ST-020;ST-034,CT-001,MS-001,SRC-219;SRC-220;SRC-221;SRC-223
TR-034,Fixed Fluidic Droplet / Momentum Shaping,Shower / Fluidics,Commercial Mature,ACTIVE ENABLER,BASELINE,"Hình học đường nước và lỗ phun cố định điều khiển vận tốc, kích thước giọt và chuyển động của tia mà không cần cảm biến hoặc chi tiết chuyển động.",Đây là công nghệ nền để tinh chỉnh chất lượng tia phun. Chỉ có giá trị cho Claw khi kết hợp với công nghệ khác để tạo một khả năng hoặc lợi ích mới rõ ràng.,ST-002;ST-003,CT-001;CT-009,MS-001;MS-007;MS-017,SRC-007;SRC-217;SRC-218;SRC-222
TR-035,Momentary Eco/Boost Flow Override,Bathroom / Faucet Flow Control,Commercial Mature / Direct Patent Precedent,BASELINE,BASELINE,Bộ điều tiết hai mức hoặc hai đường dòng tạo chế độ tiết kiệm mặc định và chế độ lưu lượng cao tạm thời; trạng thái có thể tự trở về khi nhả điều khiển hoặc đóng nước.,"Eco/Boost tự trở về đã có sản phẩm và bằng sáng chế trực tiếp. Ý tưởng mới phải khác ở kết quả sử dụng thực tế, không chỉ ở cách chuyển chế độ.",ST-021;ST-024;ST-047,,MS-017,SRC-220;SRC-221;SRC-229;SRC-230;SRC-231
TR-036,Magnetic Coupling Through Sealed Barrier,Process Pumps / Chemical Processing,Commercial Mature in Industrial Equipment,WATCH,TRANSFER SIGNAL,"Hai cụm nam châm truyền mô-men qua một vách ngăn không từ tính, cho phép phần ướt và phần khô quay đồng bộ mà không cần trục xuyên qua gioăng.","Có thể dùng để truyền chuyển động qua ranh giới khô/ướt cho diverter, cartridge hoặc cơ cấu quay. Cần kiểm tra mô-men trong kích thước nhỏ, chi phí nam châm, cặn và vật liệu vách ngăn.",,,,SRC-240;SRC-241
TR-037,Rolling-Diaphragm Dynamic Seal / Pressure Actuator,Pneumatics / Process Control / Aerospace,Commercial Mature Principle,WATCH,TRANSFER SIGNAL,Rolling diaphragm cuộn/mở theo hành trình pít-tông để giữ ranh giới áp suất với ma sát trượt và lực khởi động rất thấp.,"Có thể dùng cho van hoặc bộ điều tiết nhạy áp cần độ trễ thấp và ít phụ thuộc gioăng O-ring trượt. Cần thích nghi với nước nóng, cặn và không gian tích hợp nhỏ.",,,,SRC-242;SRC-243
TR-038,Liquid-Infused Slippery Surfaces (SLIPS / LIS),Marine / Biomedical / Surface Engineering,Research Mature / Early Applied,WATCH,TRANSFER SIGNAL,"Bề mặt vi/nano giữ một lớp chất lỏng bôi trơn bằng lực mao dẫn, tạo giao diện rất trơn và giảm khả năng bám của nước/cặn.","Có thể dùng cho bề mặt chống cặn/chống bẩn ở mặt sen hoặc đường nước. Rủi ro chính là mất lớp bôi trơn, tương thích chất tẩy rửa, an toàn tiếp xúc nước và độ bền khi có dòng chảy.",,,,SRC-244;SRC-245
TR-039,Low-Temperature Liquid Crystal Elastomer Actuation,Soft Robotics / Smart Materials,Research / Emerging,WATCH,TRANSFER SIGNAL,Liquid crystal elastomer (LCE) có thể được định hướng để biến dạng thuận nghịch khi nhiệt độ hoặc tác nhân kích thích thay đổi; một số công thức mới hạ được nhiệt độ kích hoạt.,"Có thể tạo chuyển động hoặc lực theo nhiệt độ bằng polymer thay cho bộ chấp hành kim loại. Cần xác minh dải nhiệt, lực, độ bền chu kỳ, ổn định hóa học và an toàn tiếp xúc nước.",,,,SRC-246;SRC-247
TR-040,Electropermanent-Magnet Latching Valves,Soft Robotics / Microfluidics,Research / Early Prototype,WATCH,TRANSFER SIGNAL,Nam châm điện vĩnh cửu đổi trạng thái từ bằng một xung điện ngắn rồi giữ lực mà không cần cấp điện liên tục; lực có thể truyền qua màng mềm.,"Có thể dùng cho diverter chốt trạng thái tiêu thụ điện thấp với phần điện ở phía khô. Cần kiểm tra kích thước, đường từ, trạng thái an toàn khi mất điện, chi phí và EMC.",,,,SRC-248;SRC-249;SRC-294
TR-041,Solid-Liquid Triboelectric Flow Sensing,Marine IoT / Water Metering / Smart Sensing,Research / Emerging,WATCH,TRANSFER SIGNAL,"Hiệu ứng triboelectric rắn–lỏng tạo tín hiệu điện khi nước tương tác với bề mặt cảm biến, cho phép đo dòng chảy mà không cần tua-bin cơ khí.","Có thể thay tua-bin trong cảm biến dòng tự cấp nguồn để giảm chi tiết chuyển động. Cần chứng minh tổn thất áp suất, độ ổn định tín hiệu, độ bền ướt, độ nhạy với cặn và cách tích hợp điện tử.",,,,SRC-250;SRC-251
TR-042,Magnetorheological Soft Flow Valves,Soft Robotics / Smart Fluids,Research,WATCH,WATCH,"Chất lỏng hoặc elastomer từ lưu biến thay đổi sức cản dòng chảy/độ cứng khi có từ trường, cho phép điều tiết tỷ lệ với ít chi tiết cứng chuyển động.","Có tiềm năng cho điều khiển lưu lượng tỷ lệ nhỏ gọn, nhưng đường chuyển giao vào sen vòi nước sinh hoạt hiện chưa rõ. Chỉ xem lại khi có kiến trúc tách biệt phần vật liệu điều khiển khỏi nước.",,,,SRC-252;SRC-253
TR-043,Load-Sensitive Coanda Fluidic Switching,Chemical Process / Fluidics,Research Mature / Water Prototype,WATCH,TRANSFER SIGNAL,"Dòng bám thành theo hiệu ứng Coanda có thể đổi nhánh khi sức cản hoặc áp lực ngược ở đầu ra vượt ngưỡng, cho phép chuyển dòng không cần cảm biến hay chi tiết chuyển động.","Có thể dùng để tự chuyển sang nhánh dự phòng khi sức cản của bộ lọc tăng. Cần kiểm tra tổn thất áp suất, độ nhạy hình học, tiếng ồn, cặn và độ trễ khi chuyển trạng thái.",,,,SRC-256;SRC-257
TR-044,Jamming-Based Variable Stiffness / Shape Locking,Soft Robotics / Medical Devices,Research Mature / Prototype,WATCH,TRANSFER SIGNAL,"Cấu trúc hạt, lớp hoặc sợi tăng ma sát nội bộ khi tạo chênh áp, nhờ đó chuyển từ mềm/dễ uốn sang cứng trong khi hình dạng ngoài thay đổi ít.","Có thể dùng cho kết cấu điều chỉnh rồi khóa hình dạng. Tuy nhiên ống/tay đỡ sen chuyển mềm–cứng đã có tiền lệ trực tiếp, nên không dùng riêng cơ chế jamming làm điểm mới; chỉ giữ cho ứng dụng khác.",,,,SRC-258;SRC-259;SRC-270
TR-045,Water-Compatible Self-Healing Elastomer Seals,Hydraulics / Marine / Underwater Materials,Research Emerging / Industrial Patent,WATCH,TRANSFER SIGNAL,Mạng polymer động hoặc lớp elastomer trương nở trong nước có thể tái liên kết hoặc dịch chuyển vật liệu để khép các vết cắt/hư hỏng rất nhỏ trong môi trường ướt.,"Có thể dùng cho gioăng hoặc cartridge để giảm rò sau hư hỏng nhỏ, thay vì chỉ tăng khả năng chống mòn. Cần xác minh độ bền trong nước nóng, chlorine/chất tẩy rửa, biến dạng dư, ma sát, thôi nhiễm và yêu cầu chứng nhận.",,,,SRC-262;SRC-263;SRC-264
TR-046,Piezo / Ultrasonic Fouling Cleaning,Water Treatment / Precision Cleaning,Established Physics / Emerging Integrated Systems,WATCH,TRANSFER SIGNAL,Bộ rung piezo tạo dao động siêu âm; dòng âm và cavitation có thể làm yếu lớp cặn bám và hỗ trợ đưa cặn ra khỏi bề mặt.,"Có thể dùng cho chu kỳ tự làm sạch mặt sen hoặc đường nước. Cần kiểm tra hiệu quả truyền rung, xói mòn, tiếng ồn, điện năng, chống nước, mỏi vật liệu và an toàn.",,,,SRC-265;SRC-266;SRC-267;SRC-274;SRC-275
TR-047,Digital Shower Control Stack / Motorized Thermostatic Mixing,Bathroom Fittings / Digital Control,Commercial Mature / Rapidly Expanding,BASELINE,BASELINE,"Động cơ hoặc bộ chấp hành điện tử điều khiển trộn nhiệt và/hoặc van đầu ra; bộ điều khiển có thể thêm đặt nhiệt độ, chọn đầu ra, lưu cấu hình, xả trước và điều khiển từ xa.","Đây là nền tảng đã trưởng thành cho điều khiển nhiệt ổn định, thao tác lực thấp và cá nhân hóa. Điều khiển số hoặc màn hình tự thân không còn là điểm mới; ý tưởng phải tạo giá trị người dùng cụ thể hơn.",,CT-012;CT-015,MS-018;MS-020,SRC-282;SRC-285;SRC-287
TR-048,Hall-Sensor Handle Activation,Bathroom / Kitchen Faucets,Commercial Mature,ACTIVE ENABLER,BASELINE,Cảm biến Hall đọc vị trí nam châm gắn với tay vặn để nhận biết trạng thái mở hoặc thao tác mà không cần cảm biến tiệm cận riêng ở mặt trước.,"Hữu ích cho giao diện kết hợp cơ khí–điện tử và thao tác có chủ đích hơn. Do đã có ứng dụng trực tiếp trên vòi, đây là công nghệ hỗ trợ chứ không phải khoảng trống đổi mới.",ST-005,,MS-020,SRC-286
TR-049,Quick-Release Showerhead Coupling,Bathroom / Shower Hardware,Commercial Mature,BASELINE,BASELINE,Khớp cơ khí nhả nhanh bằng nút bấm cho phép tháo bát sen mà không phải vặn ren theo cách truyền thống.,"Đây là giải pháp nền cho tháo nhanh, vệ sinh và bảo trì. Ý tưởng mới phải tạo thêm lợi ích người dùng ngoài việc tháo lắp nhanh.",ST-017,CT-013,MS-005;MS-006,SRC-286
