Supplier Tech ID,Supplier / Company,Technology / Component,Capability / Principle,Current Application,Maturity,Fitting Applicability,Key Constraints,Source ID
ST-020,Sedal,TOP35 high-performance cartridge,High-performance ceramic cartridge,Faucet,Commercial,High,Cost and dimensional compatibility,SRC-353
ST-021,Sedal,DUE water saving mid-stop,Mid-stop flow limiting cartridge,Faucet,Commercial,High,User override and force/flow feel,SRC-353
ST-022,Sedal,Nano Shelter durability,Durability enhancement / protective surface,Faucet,Commercial / supplier-proposed,Medium,Long-term chemical and scratch resistance,SRC-353
ST-023,Sedal,Compact thermostatic cartridge,Compact thermostatic cartridge,Shower,Commercial,High,Temperature response and flow loss,SRC-353
ST-024,Sedal,Low-pressure/high-flow thermostatic,Low-pressure high-flow thermostatic architecture,Shower,Commercial / supplier-proposed,High,Balance between flow, stability and size,SRC-353
ST-025,Hent,Push-button cartridge,Push-button cartridge actuation,Faucet / shower,Commercial,High,Button force, cycle life, sealing,SRC-354
ST-026,Hent,Push-button temperature control cartridge,Push-button temperature control,Shower,Commercial / supplier-proposed,High,Temperature adjustment precision and durability,SRC-354
ST-027,Hent,Thermostatic cartridge family,Thermostatic cartridge platform,Shower,Commercial,High,Temperature response and certification,SRC-354
ST-028,Hent,Brass/zinc faucet waterway architecture,Metal waterway architecture,Faucet,Commercial,High,Weight, corrosion and cost,SRC-354
ST-029,Solex,Slim thermostatic concealed cartridge,Slim concealed thermostatic cartridge,Concealed shower,Commercial,High,Installation envelope and serviceability,SRC-355
ST-030,Solex,Built-in water shut-off,Integrated shut-off mechanism,Shower / faucet,Commercial,High,Seal life and access,SRC-355
ST-031,Solex,Waterway protection/leak test,Integrated waterway protection and leak test,Shower / faucet,Commercial,High,Manufacturing control and test coverage,SRC-355
ST-032,Solex,Water-hammer airbag,Hydraulic transient damping,Shower / faucet,Commercial / supplier-proposed,High,Space and pressure tuning,SRC-355
ST-033,Solex,500k-cycle push-button cartridge,Long-life push-button cartridge,Faucet / shower,Commercial,High,Cost and validation,SRC-355
ST-034,Solex,Flexible pressure-adaptive spray,Pressure-adaptive flexible spray architecture,Showerhead,Commercial / supplier-proposed,High,Material fatigue, pressure range and spray consistency,SRC-355
ST-035,Solex,T-arget massage,Massage spray architecture,Showerhead,Commercial / supplier-proposed,High,User comfort and acoustic behavior,SRC-355
ST-036,Solex,Height-adjustable low-wobble shower system,Stable adjustable shower support,Shower hardware,Commercial,High,Mechanical complexity and load,SRC-355
ST-037,Solex,Anti-scale surface / drainage geometry,Surface and geometry for scale reduction,Shower / faucet,Commercial / supplier-proposed,High,Coating durability and water chemistry,SRC-355
ST-038,Solex,Drainage-oriented surface treatment,Surface treatment supporting drainage,Shower / faucet,Commercial / supplier-proposed,Medium,Cleaning agent and finish compatibility,SRC-355
ST-039,Seagull,Ozone water generation/dispensing,Point-of-use ozone generation,Sanitary / bathroom water,Commercial / emerging,Medium,Safety, byproducts, gas management, certification,SRC-356
ST-040,Seagull,Light-flow sync,Flow synchronized lighting/display,Smart shower / faucet,Commercial / supplier-proposed,Medium,Power source, electronics reliability,SRC-356
ST-041,Seagull,Quantified auto shut-off,Flow/time based automatic shutoff,Smart shower / faucet,Commercial / supplier-proposed,High,Sensor accuracy and fail-safe behavior,SRC-356
ST-042,Seagull,Smart shower touch/display control,Touch/display control stack,Smart shower,Commercial / supplier-proposed,Medium,Electronics, wet-environment reliability,SRC-356
ST-043,Waternym / Jandao Group,Anti-clogging / reverse-flush spray panel,Anti-clogging and reverse flush mechanism,Shower panel,Commercial / supplier-proposed,High,Pressure requirement and cleaning performance,SRC-357
ST-044,Waternym / Jandao Group,Multi-pressure spray panel platform,Multi-pressure spray architecture,Shower panel,Commercial / supplier-proposed,High,Flow balance and user perception,SRC-357
ST-045,Waternym / Jandao Group,Private-care + granular massage spray combination,Combined personal-care and massage spray,Shower,Commercial / supplier-proposed,High,User comfort, hygiene and flow demand,SRC-357
ST-046,Yizhan,Push-button diverter,Push-button flow diversion,Shower,Commercial,High,Cycle life and switching force,SRC-358
ST-047,Yizhan,Hot-cold push-button,Push-button hot/cold control,Shower / faucet,Commercial / supplier-proposed,High,Temperature control precision,SRC-358
ST-048,Yizhan,Two-speed water-saving cartridge,Two-level flow control cartridge,Faucet,Commercial,High,User override and pressure sensitivity,SRC-358
