Market Signal ID,Product Area,Target User / Context,Need / Pain Point,Current / Existing Solution,Remaining Gap / DELTA,Required Function,Market Pull Class,Source IDs
MS-011,Washbasin + Faucet,Người mua hoặc lựa chọn chậu và vòi như một bộ.,"Muốn chậu và vòi đồng bộ về thiết kế, tỷ lệ và giá trị để dễ lựa chọn theo bộ.",Bộ sản phẩm cùng thương hiệu và collection/bundle.,Thiết kế hoặc giá trị không tương xứng giữa các thành phần có thể làm giảm sức hấp dẫn của cả bộ; bundle chưa luôn được tối ưu.,"Tạo sự đồng bộ về thiết kế, tỷ lệ, chức năng và giá trị giữa chậu và vòi ở cấp bộ sưu tập.",WATCH,SRC-279
MS-012,Shower Mixer / Thermostat,Khách hàng muốn nhiệt độ ổn định và an toàn nhưng có mức ngân sách khác nhau.,Muốn kiểm soát nhiệt độ ổn định và an toàn mà không phải trả cho kiến trúc hoặc tính năng vượt quá nhu cầu.,Thermostatic mixer đã trưởng thành với nhiều kiểu điều khiển và phân khúc giá.,"Một van nhiệt thông thường không tạo khác biệt; cơ hội nằm ở trải nghiệm điều khiển, độ an toàn và kiến trúc phù hợp với từng phân khúc.","Cung cấp nhiệt độ ổn định/an toàn với điều khiển trực quan, chi phí phù hợp và khả năng tích hợp linh hoạt.",ACTIVE SIGNAL,SRC-280;SRC-278
MS-013,Rain Shower System,Người mua hệ sen mưa tại Việt Nam.,Muốn nâng cấp cảm giác tắm bằng vùng phun thoải mái hơn; tăng kích thước bát sen hoặc số chế độ không nhất thiết tạo trải nghiệm tốt hơn.,"Bát sen lớn, nhiều đầu ra, shelf, nút nhấn và hệ âm tường.",Các kiến trúc này đã phổ biến; cơ hội nằm ở việc cải thiện kết quả trải nghiệm thay vì tăng phần cứng.,"Cải thiện một kết quả cụ thể như độ phủ, cảm giác nước, khả năng tiếp cận hoặc hiệu năng mà không phụ thuộc đơn thuần vào kích thước/số mode.",WATCH,SRC-280;SRC-283
MS-014,Bathroom Fittings,Khách hàng từ phân khúc cơ bản đến cao cấp.,"Nhu cầu về tiện lợi, đa chức năng, tích hợp kín, chăm sóc và tự động hóa thay đổi theo phân khúc.","Thermostat, điều khiển nhấn-xoay, nhiều mode, hệ âm tường, microbubble và tính năng số.",Tính năng tự thân không còn đủ khác biệt; giá trị phải gắn với một kết quả người dùng rõ ràng.,Xác định kết quả người dùng cần đạt cho từng phân khúc trước khi chọn tính năng/công nghệ.,BASELINE,SRC-280;SRC-282;SRC-287
MS-015,Bathroom Fittings / Quality,Người dùng phổ thông của sản phẩm sen vòi.,"Muốn sản phẩm dễ vệ sinh, ít vùng nước tù, lắp đặt ổn định, ít rò rỉ và bền.",Các yêu cầu chất lượng nền đã được thị trường kỳ vọng.,"Đây là điều kiện bắt buộc cho mọi ý tưởng mới, không nên coi riêng lẻ là đổi mới.","Duy trì vệ sinh, độ kín, ổn định lắp đặt và độ bền trong mọi kiến trúc mới.",BASELINE,SRC-279;SRC-280
MS-016,Shower / Basin Personal Care,"Người quan tâm chăm sóc da, làm đẹp, vệ sinh cá nhân hoặc trải nghiệm tự chăm sóc kiểu spa.","Nhu cầu chăm sóc cá nhân ngày càng xuất hiện trong sen và vòi, nhưng không phải mọi tính năng đều giải quyết một job cụ thể.","Microbubble, massage, tạo bọt, lọc nước, rửa mặt và tay sen đa chức năng.",Nhóm giải pháp đã rất rộng; thêm một tính năng chăm sóc chung khó tạo khác biệt nếu không gắn với kết quả cụ thể.,"Xác định rõ kết quả chăm sóc cá nhân trước khi chọn tia phun, phụ gia hoặc phụ kiện.",WATCH,SRC-280;SRC-281;SRC-282;SRC-284;SRC-287
MS-017,Shower / Sustainability,Người dùng và thương hiệu quan tâm tiết kiệm nước.,Muốn giảm lượng nước sử dụng nhưng vẫn cảm thấy tia đủ tốt và vùng phun đủ thoải mái để tắm bình thường.,"Tia/lưu lượng tiết kiệm nước, low-flow và các kiến trúc giảm tiêu thụ.",Giảm lưu lượng quá mức có thể làm giảm cảm giác tắm và thay đổi đặc tính giọt nước; tiết kiệm nước đơn thuần không còn đủ khác biệt.,"Giảm lượng nước sử dụng trong khi duy trì vùng phun, khả năng xả và cảm giác tắm ở mức chấp nhận được.",WATCH,SRC-280;SRC-284;SRC-007
MS-018,Shower System / Premium,Thị trường cải tạo và khách hàng cao cấp.,Muốn hệ sen cao cấp tạo khác biệt về trải nghiệm mà không chỉ tăng số đầu ra hoặc che giấu thiết bị.,"Hệ âm tường nhiều đầu ra, body spray, digital panel và shelf lớn.",Kiến trúc âm tường/nhiều đầu ra đã phổ biến; chi phí và độ phức tạp có thể tăng nhanh hơn giá trị cảm nhận.,Chỉ sử dụng kiến trúc cao cấp khi nó tạo khác biệt đo được hoặc cảm nhận rõ về trải nghiệm/hiệu năng.,BASELINE,SRC-280;SRC-282;SRC-283;SRC-287
MS-019,Shower / Target-Audience Care,"Trẻ em, người cao tuổi, người nuôi thú cưng và gia đình nhiều thế hệ.","Các nhóm người dùng có giới hạn khác nhau về tầm với, lực thao tác, tư thế hoặc vùng cần chăm sóc; giải pháp chung có thể chưa phù hợp với từng tình huống.","Tia cho trẻ em, pet shower, điều khiển dễ dùng, chỉnh cao và phụ kiện chăm sóc.",Chỉ gắn nhãn nhóm người dùng hoặc thêm phụ kiện chưa đủ; cần xác định khó khăn cụ thể và chức năng vật lý tương ứng.,Bắt đầu từ giới hạn cụ thể của người dùng và chức năng cần thiết thay vì chỉ từ nhãn nhân khẩu học.,WATCH,SRC-281;SRC-282;SRC-283;SRC-287
MS-020,Shower / Digital,Người dùng hệ sen kết nối hoặc cao cấp.,"Muốn điều khiển thuận tiện, phản hồi rõ và cá nhân hóa khi hệ sen có nhiều chức năng.","Display, nút điện tử, điều khiển nhiệt độ số, app/voice và bảng điều khiển trung tâm.","Display/điều khiển số đã phổ biến; độ tin cậy, phản hồi và lợi ích thực tế mới là yếu tố quyết định giá trị.","Chỉ dùng điều khiển số khi nó cải thiện rõ độ ổn định nhiệt độ, sự tiện lợi, khả năng cá nhân hóa hoặc khả năng tiếp cận.",BASELINE,SRC-282;SRC-285;SRC-287
MS-021,Bathroom Fittings / CMF,Khách hàng cao cấp và nhóm coi trọng thiết kế.,Muốn vật liệu/màu/bề mặt khác biệt và đồng bộ với không gian nhưng vẫn bền trong điều kiện phòng tắm.,"PVD, phối hợp vật liệu, nhiều màu và tùy biến hoàn thiện.","Mở rộng màu đơn thuần không còn đủ khác biệt; độ bền, khả năng chịu chất tẩy và cách thể hiện vật liệu mới là vấn đề.",Tạo kiến trúc màu/vật liệu khác biệt với độ bền bề mặt và khả năng chịu môi trường được xác minh.,BASELINE,SRC-280;SRC-282;SRC-284;SRC-285;SRC-287
MS-022,Bathroom Fittings / Value,Người mua phân khúc phổ thông và trung cấp tại Việt Nam.,Muốn sản phẩm có thiết kế hiện đại và lợi ích rõ ràng nhưng vẫn phù hợp ngân sách.,Thương hiệu địa phương và Trung Quốc tận dụng OEM/ODM và công nghệ có sẵn để đưa nhiều tính năng vào mức giá cạnh tranh.,Tích hợp quá nhiều công nghệ làm tăng chi phí và độ phức tạp; khác biệt phải nhìn thấy được mà vẫn sản xuất và mở rộng quy mô được.,"Tạo lợi ích người dùng rõ bằng kiến trúc đơn giản, dễ sản xuất/mở rộng quy mô và cạnh tranh về chi phí.",ACTIVE SIGNAL,SRC-280;SRC-282;SRC-283
